city,state,attraction_name,category,latitude,longitude,estimated_visit_cost_inr,time_hours,cost_category,city_id,cat_id,costcat_id,budget_id,proximity_score,budget_match
tawang,arunachal pradesh,tawang monastery,monastery,27.5866091,91.8573902,-0.0392602256796572,0.2214307186886533,medium,110,27,2,2,1.0,1.0
thanjavur,tamil nadu,brihadeeswarar temple,temple,10.78258,79.1313819,-0.3337820425191918,-0.301046257992439,medium,111,49,2,2,1.0,1.0
thiruvananthapuram,kerala,padmanabhaswamy temple,temple,8.4827027,76.9438872,-0.6283038593587263,-0.8235232346735313,low,112,49,1,0,1.0,1.0
tirunelveli,tamil nadu,nellaiappar temple,temple,8.7284759,77.688951,-0.6283038593587263,-0.8235232346735313,low,113,49,1,0,1.0,1.0
udaipur,rajasthan,lake pichola,lake,24.5696217,73.6721833,-0.6283038593587263,-0.8235232346735313,low,114,21,1,0,0.9930753356687366,1.0
udaipur,rajasthan,city palace,palace,24.5760597,73.6835668,0.5497834079994118,0.2214307186886533,medium,114,34,2,2,0.9930754639509722,1.0
uttarkashi,uttarakhand,gangotri temple,temple,30.9944345,78.9411466,-0.6283038593587263,-0.8235232346735313,low,115,49,1,0,1.0,1.0
vadodara,gujarat,laxmi vilas palace,palace,22.2918544,73.1883335,0.3534355301063888,0.2214307186886533,medium,116,34,2,2,1.0,1.0
varanasi,uttar pradesh,kashi vishwanath temple,temple,25.3108219,83.0106679,-0.6283038593587263,-0.8235232346735313,low,117,49,1,0,1.0,1.0
varkala,kerala,varkala beach,beach,8.7332285,76.7054245,-0.0392602256796572,0.2214307186886533,medium,118,2,2,2,1.0,1.0
vijayawada,andhra pradesh,kanaka durga temple,temple,16.5154312,80.6062147,-0.6283038593587263,-0.8235232346735313,low,119,49,1,0,1.0,1.0
visakhapatnam,andhra pradesh,submarine museum,museum,17.7170864,83.3298119,-0.5497647082015171,-0.8235232346735313,medium,120,31,2,2,0.9808173082949768,1.0
visakhapatnam,andhra pradesh,indira gandhi zoological park,zoo,17.7660894,83.3494389,9.349898947373974e-06,0.2214307186886533,medium,120,60,2,2,0.9594750282164692,1.0
visakhapatnam,andhra pradesh,visakha museum,museum,17.7208267,83.3338207,-0.6086690715694241,-0.8235232346735313,medium,120,31,2,2,0.9857384528534588,1.0
visakhapatnam,andhra pradesh,matsyadarshini aquarium,aquarium,17.7128522,83.3199058,-0.5890342837801218,-0.8235232346735313,medium,120,1,2,2,0.9718320225367192,1.0
visakhapatnam,andhra pradesh,kailasagiri,hill,17.7499572,83.3396922,-0.0392602256796572,0.2214307186886533,medium,120,18,2,2,0.9803393101415864,1.0
vizianagaram,andhra pradesh,simhachalam temple,temple,18.1125882,83.411064,-0.6283038593587263,-0.8235232346735313,low,121,49,1,0,1.0,1.0
vrindavan,uttar pradesh,prem mandir,temple,27.5720889,77.672038,-0.3337820425191918,-0.301046257992439,medium,122,49,2,2,1.0,1.0
wayanad,kerala,wayanad wildlife sanctuary,wildlife sanctuary,11.7645326,76.2436909,1.138827041678481,1.2663846720508378,high,123,59,0,1,1.0,1.0
yercaud,tamil nadu,yercaud lake,lake,11.7832744,78.2104687,-0.6283038593587263,-0.8235232346735313,low,124,21,1,0,1.0,1.0







