state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm,latitude,longitude
maharastra,mumbai,sanjay gandhi national park,national park,wildlife,3.0,950,medium,258000,all,moderate,0.0746786889845845,19.215041,72.9121984
maharastra,mumbai,chhatrapati shivaji maharaj vastu sangrahalaya,museum,historical,1.0,800,medium,156400,all,moderate,0.044795448335377,18.9268772,72.8325921
maharastra,mumbai,mahalaxmi temple,temple,religious,1.0,300,low,155100,all,budget,0.0444130840357316,,
maharastra,mumbai,elephanta caves,monument,historical,4.0,1750,high,150500,all,luxury,0.0430601026677557,,
maharastra,mumbai,essel world,amusement park,recreational,5.0,2649,high,116100,all,luxury,0.0329421550463704,19.2253824,72.8080979
maharastra,mumbai,haji ali dargah,religious shrine,religious,2.0,600,medium,70400,all,moderate,0.0195005792819139,18.9828229,72.8089926
maharastra,mumbai,chowpatty beach,beach,recreational,2.0,600,medium,21500,evening,moderate,0.0051177990875611,18.954359,72.8128787
kerala,munnar,munnar tea gardens,scenic area,nature,2.0,600,medium,129000,all,moderate,0.0367363854043899,,
west bengal,murshidabad,hazarduari palace,palace,historical,1.5,460,medium,81000,morning,moderate,0.0226183189559454,,
karnataka,murudeshwar,murudeshwar temple,temple,religious,1.0,300,low,230300,all,budget,0.0665313881382946,,
uttarakhand,mussoorie,kempty falls,waterfall,nature,1.5,465,medium,231000,morning,moderate,0.0667372766073345,,
karnataka,mysore,mysore palace,palace,historical,2.0,650,medium,1150000,all,moderate,0.337039423818178,12.3052196,76.6553846
maharastra,nagpur,deekshabhoomi,monument,religious,1.0,300,low,49500,afternoon,budget,0.0133533378491537,21.1282013,79.06693
uttarakhand,nainital,naini lake,lake,nature,1.5,450,medium,4200,morning,moderate,2.9412638434259363e-05,29.3855849,79.4604798
sikkim,namchi,char dham,religious complex,religious,2.0,650,medium,56400,all,moderate,0.0153828099011176,27.1735348,88.321995
himachal pradesh,narkanda,hatu peak,viewpoint,nature,2.0,600,medium,495000,all,moderate,0.1443866420737792,,
maharastra,nashik,sula vineyards,vineyard,recreational,2.0,900,medium,41000,afternoon,moderate,0.0108532635822417,20.0064403,73.6876504
andaman and nicobar islands,neil island,bharatpur beach,beach,nature,1.0,300,low,18000,morning,budget,0.004088356742362,,
kerala,nelliyampathy,seethargundu viewpoint,viewpoint,nature,1.0,300,low,13500,morning,budget,0.0027647880128203,,
delhi,new delhi,gurudwara bangla sahib,gurudwara,religious,1.0,300,low,504000,all,budget,0.1470337795328625,28.6280479,77.2093211
delhi,new delhi,jama masjid,mosque,historical,1.0,300,low,220500,all,budget,0.0636489495717372,28.595544,77.1213161
delhi,new delhi,rail museum,museum,cultural,2.0,650,medium,105600,morning,moderate,0.0298538280107732,28.5855294,77.1803985
uttar pradesh,noida,dlf mall of india,mall,shopping,2.0,600,medium,690000,all,moderate,0.2017412870205849,28.5674442,77.321124
uttar pradesh,noida,okhla bird sanctuary,bird sanctuary,wildlife,1.5,480,medium,15050,all,moderate,0.0032206839085514,28.5569866,77.3090031
ladakh,nubra valley,nubra valley,valley,nature,2.0,600,medium,45000,all,moderate,0.012029769119612,,
tamil nadu,ooty,ooty lake,lake,recreational,1.0,310,medium,250099,morning,moderate,0.0723547964218936,11.403417,76.6916789
madhya pradesh,orchha,orchha fort,fort,historical,1.5,460,medium,48000,afternoon,moderate,0.0129121482726398,25.3499086,78.6443859
madhya pradesh,pachmarhi,bee falls,waterfall,nature,1.5,465,medium,29899,morning,moderate,0.0075881665896545,,
jammu and kashmir,pahalgam,betaab valley,valley,nature,2.0,700,medium,50599,all,moderate,0.0136765827455462,,
himachal pradesh,palampur,tea gardens,tea plantation,agricultural,1.5,450,medium,6899,morning,moderate,0.0008232597497749,32.1210671,76.5264001
bihar,patna,sanjay gandhi biological park,zoo,wildlife,2.5,780,medium,215000,all,moderate,0.0620312544578529,,
bihar,patna,budhha smriti park,park,cultural,1.0,310,medium,136400,all,moderate,0.0389129206485251,,
bihar,patna,takhat shri harimandir ji patna sahib,gurudwara,religious,1.0,300,low,117500,all,budget,0.0333539319844501,,
sikkim,pelling,pemayangtse monastery,monastery,religious,1.0,320,medium,6899,morning,moderate,0.0008232597497749,,
uttar pradesh,porbandar,kirti mandir,memorial,historical,1.0,300,low,14400,morning,budget,0.0030295017587287,,
andaman and nicobar islands,port blair,cellular jail,landmark,historical,1.5,480,medium,56400,afternoon,moderate,0.0153828099011176,11.6744456,92.7477856
puducherry,puducherry,promenade beach,beach,recreational,1.0,300,low,40500,morning,budget,0.0107062003900704,11.9321674,79.8360554
puducherry,puducherry,paradise beach,beach,recreational,1.0,500,medium,6750,morning,moderate,0.0007794349185078,11.869834,79.8198877
maharastra,pune,shaniwar wada,fort,historical,2.0,650,medium,528000,all,moderate,0.1540928127570848,18.5193825,73.8553566
odisha,puri,jagannath temple,temple,religious,2.0,600,medium,470000,all,moderate,0.1370334824652143,19.8047726,85.8180811
west bengal,purulia,ayodhya hills,hill,nature,2.5,750,medium,67500,all,moderate,0.0186476127673204,,
rajasthan,pushkar,pushkar lake,temple,religious,1.5,450,medium,704000,all,moderate,0.2058590564013812,26.4875533,74.5540466
andhra pradesh,puttaparthi,prasanthi nilayam,spiritual center,religious,1.0,300,low,56400,all,budget,0.0153828099011176,14.1658687,77.8077625
andhra pradesh,rajahmundry,papikondalu,hill,nature,2.0,600,medium,13760,all,moderate,0.0028412608727494,,
tamil nadu,rameswaram,ramanathaswamy temple,temple,religious,1.5,450,medium,4600,all,moderate,0.0001470631921712,9.2880968,79.3173756
jharkhand,ranchi,pahari mandir,temple,religious,1.0,300,low,59799,all,budget,0.0163825454814981,23.3781129,85.3119723
uttarakhand,ranikhet,chaubatia gardens,orchard,recreational,1.0,350,medium,10000,all,moderate,0.0017353456676213,,
gujarat,rann of kutch,rann utsav,cultural,cultural,3.0,5000,high,49000,evening,luxury,0.0132062746569824,,
maharastra,ratnagiri,ganapatipule temple,temple,religious,1.0,300,low,47000,all,budget,0.0126180218882972,,
sikkim,ravangla,buddha park,park,cultural,1.0,350,medium,48000,all,moderate,0.0129121482726398,27.3116732,88.3635699
uttarakhand,rishikesh,laxman jhula,suspension bridge,cultural,1.0,300,low,13200,morning,budget,0.0026765500975176,,
odisha,rourkela,khandadhar waterfall,waterfall,nature,1.5,450,medium,540000,all,moderate,0.1576223293691959,,
odisha,sambalpur,hirakud dam,dam,engineering marvel,1.0,300,low,4500,all,budget,0.000117650553737,21.5492431,83.9011286
uttar pradesh,sarnath,dhamek stupa,monument,historical,1.0,305,medium,29899,all,moderate,0.0075881665896545,,
maharashtra,satara,kaas plateau,valley,nature,2.0,900,medium,22000,afternoon,moderate,0.0052648622797324,,
rajasthan,sawai madhopur,ranthambore national park,wildlife sanctuary,wildlife,3.0,1400,high,41400,all,luxury,0.0109709141359787,,
himachal pradesh,shimla,the ridge,scenic point,recreational,1.0,300,low,14100,morning,budget,0.0029412638434259,31.1047906,77.1752833
maharastra,shirdi,sai baba temple,temple,religious,1.5,450,medium,324300,all,moderate,0.0941792682664984,19.7693867,74.4776481
karnataka,shivamogga,jog falls,waterfall,nature,1.5,480,medium,105799,morning,moderate,0.0299123591612574,14.2292983,74.8123093
himachal pradesh,shoja,serolsar lake,lake,nature,2.5,750,medium,396000,morning,moderate,0.1152681300238624,,
west bengal,siliguri,jaldapara national park,wildlife sanctuary,wildlife,3.0,1150,high,15400,all,luxury,0.0033236281430713,,
assam,sivasagar,sivasagar sivadol,temple,historical,1.0,300,low,30550,all,budget,0.0077796428658616,,
gujarat,somnath,somnath temple,temple,religious,2.0,600,medium,187200,morning,moderate,0.0538545409731288,20.8877578,70.4013836
himachal pradesh,spiti valley,key monastery,monastery,religious,1.0,300,low,12000,morning,budget,0.0023235984363064,,
jammu and kashmir,srinagar,dal lake,lake,nature,2.0,600,medium,69000,morning,moderate,0.0190888023438343,34.1137233,74.8700063
andhra pradesh,srisailam,mallikarjuna swamy temple,temple,religious,1.0,300,low,230300,all,budget,0.0665313881382946,,
west bengal,sundarbans,sundarbans national park,national park,wildlife,4.0,1260,high,28600,all,luxury,0.0072060964163935,,
maharashtra,tarkarli,tarkarli beach,beach,recreational,2.0,600,medium,29899,evening,moderate,0.0075881665896545,16.014689,73.4895302
arunachal pradesh,tawang,tawang monastery,monastery,religious,2.0,600,medium,15040,morning,moderate,0.0032177426447079,27.5866091,91.8573902
tamil nadu,thanjavur,brihadeeswarar temple,temple,religious,1.5,450,medium,168000,all,moderate,0.048207314393751,10.78258,79.1313819
kerala,thekkady,periyar national park,national park,wildlife,3.0,950,medium,60200,all,moderate,0.0165004901616195,,
kerala,thiruvananthapuram,padmanabhaswamy temple,temple,religious,1.0,300,low,216200,all,budget,0.0623842061190641,8.4827027,76.9438872
tamil nadu,tirunelveli,nellaiappar temple,temple,religious,1.0,300,low,73600,all,budget,0.0204417837118102,8.7284759,77.688951
rajasthan,udaipur,lake pichola,lake,nature,1.0,300,low,229999,all,budget,0.0664428560966075,24.5696217,73.6721833
rajasthan,udaipur,city palace,palace,historical,2.0,900,medium,224400,all,moderate,0.0647960424706733,24.5760597,73.6835668
jammu and kashmir,udhampur,patnitop height,hill,recreational,2.0,600,medium,4100,all,moderate,0.0,,
madhya pradesh,ujjain,mahakaleshwar jyotirlinga,temple,religious,1.5,450,medium,576000,all,moderate,0.1682108792055293,,
tripura,unakoti,unakoti rock carvings,rock carvings,historical,1.5,470,medium,11250,morning,moderate,0.0021030036480495,,
uttarakhand,uttarkashi,gangotri temple,temple,religious,1.0,300,low,24000,all,budget,0.0058531150484176,30.9944345,78.9411466
gujarat,vadodara,laxmi vilas palace,palace,historical,2.0,800,medium,74800,afternoon,moderate,0.0207947353730213,22.2918544,73.1883335
uttar pradesh,varanasi,kashi vishwanath temple,temple,religious,1.0,300,low,423000,all,budget,0.1232095424011124,25.3108219,83.0106679
kerala,varkala,varkala beach,beach,recreational,2.0,600,medium,46000,all,moderate,0.0123238955039546,8.7332285,76.7054245
andhra pradesh,vijayawada,kanaka durga temple,temple,religious,1.0,300,low,206800,all,budget,0.0596194181062437,16.5154312,80.6062147
andhra pradesh,visakhapatnam,submarine museum,museum,historical,1.0,340,medium,225399,all,moderate,0.0650898747286316,17.7170864,83.3298119
andhra pradesh,visakhapatnam,rishikonda beach,beach,recreational,1.5,450,medium,175500,morning,moderate,0.0504132622763205,,
andhra pradesh,visakhapatnam,borra caves,cave,natural wonder,2.0,660,medium,139500,afternoon,moderate,0.0398247124399871,,
andhra pradesh,visakhapatnam,indira gandhi zoological park,zoo,wildlife,2.0,620,medium,102499,afternoon,moderate,0.0289417420929268,17.7660894,83.3494389
andhra pradesh,visakhapatnam,visakha museum,museum,cultural,1.0,310,medium,27950,all,moderate,0.0070149142665708,17.7208267,83.3338207
andhra pradesh,visakhapatnam,war memorial,war memorial,historical,1.0,300,low,27139,all,budget,0.006776377768869,,
andhra pradesh,visakhapatnam,matsyadarshini aquarium,aquarium,recreational,1.0,320,medium,11400,all,moderate,0.0021471226057009,17.7128522,83.3199058
andhra pradesh,visakhapatnam,kailasagiri,hill,recreational,2.0,600,medium,8550,all,moderate,0.0013088624103245,17.7499572,83.3396922
andhra pradesh,vizianagaram,simhachalam temple,temple,religious,1.0,300,low,277300,all,budget,0.0803553282023965,18.1125882,83.411064
uttar pradesh,vrindavan,prem mandir,temple,religious,1.5,450,medium,235200,evening,moderate,0.0679726074215733,27.5720889,77.672038
uttar pradesh,vrindavan,banke bihari temple,temple,religious,1.0,300,low,177600,all,budget,0.0510309276834399,,
kerala,wayanad,wayanad wildlife sanctuary,wildlife sanctuary,wildlife,3.0,1200,high,990000,all,luxury,0.289979202323363,11.7645326,76.2436909
tamil nadu,yercaud,yercaud lake,lake,recreational,1.0,300,low,7980,morning,budget,0.0011412103712492,11.7832744,78.2104687
