state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,poi_summary
assam,guwahati,umananda island,island,nature,1,300,low,4100,morning,budget,Umananda Island — Nature. Category: island. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.1
madhya pradesh,gwalior,gwalior fort,fort,historical,2.5,825,medium,180000,morning,moderate,Gwalior Fort — Historical. Category: fort. Estimated visit time: 2.5 hrs. Cost: ₹825. Best time to visit: morning. Average rating: 4.5
assam,hajo,hayagriva madhava temple,temple,religious,1,300,low,405000,all,budget,Hayagriva Madhava Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
karnataka,halebidu,halebidu hoysaleswara temple,temple,religious,1,315,medium,51700,all,moderate,Halebidu Hoysaleswara Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹315. Best time to visit: all. Average rating: 4.7
karnataka,hampi,hampi archaeological ruins,site,historical,3,900,medium,23500,all,moderate,Hampi Archaeological Ruins — Historical. Category: site. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: all. Average rating: 4.7
uttarakhand,haridwar,har ki pauri,ghat,religious,1,300,low,11250,all,budget,Har Ki Pauri — Religious. Category: ghat. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
andaman and nicobar islands,havelock island,radhanagar beach,beach,nature,1,300,low,43200,morning,budget,Radhanagar Beach — Nature. Category: beach. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.8
ladakh,hemis,hemis national park,national park,wildlife,4,1220,high,8800,all,luxury,Hemis National Park — Wildlife. Category: national park. Estimated visit time: 4.0 hrs. Cost: ₹1220. Best time to visit: all. Average rating: 4.4
west bengal,hooghly,hangseswari temple,temple,architectural,0.5,150,low,32199,all,budget,Hangseswari Temple — Architectural. Category: temple. Estimated visit time: 0.5 hrs. Cost: ₹150. Best time to visit: all. Average rating: 4.6
telangana,hyderabad,charminar,landmark,historical,1,325,medium,945000,morning,moderate,Charminar — Historical. Category: landmark. Estimated visit time: 1.0 hrs. Cost: ₹325. Best time to visit: morning. Average rating: 4.5
telangana,hyderabad,inorbit mall cyberabad,mall,shopping,2,600,medium,540000,all,moderate,Inorbit Mall Cyberabad — Shopping. Category: mall. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.5
telangana,hyderabad,golconda fort,fort,historical,2,630,medium,528000,morning,moderate,Golconda Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹630. Best time to visit: morning. Average rating: 4.4
telangana,hyderabad,nehru zoological park,zoo,wildlife,3,950,medium,361200,morning,moderate,Nehru Zoological Park — Wildlife. Category: zoo. Estimated visit time: 3.0 hrs. Cost: ₹950. Best time to visit: morning. Average rating: 4.2
telangana,hyderabad,lumbini park,park,recreational,1,320,medium,299300,evening,moderate,Lumbini Park — Recreational. Category: park. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: evening. Average rating: 4.1
telangana,hyderabad,salar jung museum,museum,historical,2,620,medium,294800,all,moderate,Salar Jung Museum — Historical. Category: museum. Estimated visit time: 2.0 hrs. Cost: ₹620. Best time to visit: all. Average rating: 4.4
telangana,hyderabad,hussain sagar lake,lake,scenic,1,300,low,215000,evening,budget,Hussain Sagar Lake — Scenic. Category: lake. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: evening. Average rating: 4.3
telangana,hyderabad,ramoji film city,film studio,entertainment,4,2350,high,198000,all,luxury,Ramoji Film City — Entertainment. Category: film studio. Estimated visit time: 4.0 hrs. Cost: ₹2350. Best time to visit: all. Average rating: 4.4
telangana,hyderabad,chowmahalla palace,palace,historical,1.5,530,medium,198000,morning,moderate,Chowmahalla Palace — Historical. Category: palace. Estimated visit time: 1.5 hrs. Cost: ₹530. Best time to visit: morning. Average rating: 4.4
telangana,hyderabad,birla mandir,temple,religious,1,300,low,192700,all,budget,Birla Mandir — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
telangana,hyderabad,qutb shahi tombs,tombs,historical,1,325,medium,88000,morning,moderate,Qutb Shahi Tombs — Historical. Category: tombs. Estimated visit time: 1.0 hrs. Cost: ₹325. Best time to visit: morning. Average rating: 4.4
madhya pradesh,indore,rajwada palace,palace,historical,1,310,medium,277200,afternoon,moderate,Rajwada Palace — Historical. Category: palace. Estimated visit time: 1.0 hrs. Cost: ₹310. Best time to visit: afternoon. Average rating: 4.4
madhya pradesh,jabalpur,dhuandhar falls,waterfall,nature,1,300,low,4500,morning,budget,Dhuandhar Falls — Nature. Category: waterfall. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.5
rajasthan,jaipur,amber fort,fort,historical,2,700,medium,690000,all,moderate,Amber Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹700. Best time to visit: all. Average rating: 4.6
rajasthan,jaipur,hawa mahal,palace,architectural,1,350,medium,572000,morning,moderate,Hawa Mahal — Architectural. Category: palace. Estimated visit time: 1.0 hrs. Cost: ₹350. Best time to visit: morning. Average rating: 4.4
rajasthan,jaipur,albert hall museum,museum,historical,2,800,medium,283500,all,moderate,Albert Hall Museum — Historical. Category: museum. Estimated visit time: 2.0 hrs. Cost: ₹800. Best time to visit: all. Average rating: 4.5
rajasthan,jaipur,city palace,palace,historical,2,800,medium,224400,morning,moderate,City Palace — Historical. Category: palace. Estimated visit time: 2.0 hrs. Cost: ₹800. Best time to visit: morning. Average rating: 4.4
rajasthan,jaipur,jaigarh fort,fort,historical,1.5,485,medium,135000,all,moderate,Jaigarh Fort — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹485. Best time to visit: all. Average rating: 4.5
rajasthan,jaisalmer,jaisalmer fort,fort,historical,2.5,800,medium,246400,all,moderate,Jaisalmer Fort — Historical. Category: fort. Estimated visit time: 2.5 hrs. Cost: ₹800. Best time to visit: all. Average rating: 4.4
west bengal,jalpaiguri,gorumara national park,national park,wildlife,3,1000,medium,30800,all,moderate,Gorumara National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹1000. Best time to visit: all. Average rating: 4.4
jammu and kashmir,jammu,vaishno devi,temple,religious,5,1500,high,258500,all,luxury,Vaishno Devi — Religious. Category: temple. Estimated visit time: 5.0 hrs. Cost: ₹1500. Best time to visit: all. Average rating: 4.7
uttar pradesh,jhansi,jhansi fort,fort,historical,1.5,465,medium,110000,all,moderate,Jhansi Fort — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹465. Best time to visit: all. Average rating: 4.4
uttarakhand,jim corbett,jim corbett national park,national park,wildlife,3,1000,medium,132000,all,moderate,Jim Corbett National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹1000. Best time to visit: all. Average rating: 4.4
rajasthan,jodhpur,mehrangarh fort,fort,historical,2,700,medium,294400,all,moderate,Mehrangarh Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹700. Best time to visit: all. Average rating: 4.6
uttarakhand,joshimath,valley of flowers,national park,nature,5,1650,high,16450,morning,luxury,Valley Of Flowers — Nature. Category: national park. Estimated visit time: 5.0 hrs. Cost: ₹1650. Best time to visit: morning. Average rating: 4.7
gujarat,junagadh,gir national park,national park,wildlife,3,4400,high,36000,morning,luxury,Gir National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹4400. Best time to visit: morning. Average rating: 4.5
andhra pradesh,kadapa,gandikota fort,fort,historical,1.5,450,medium,6750,morning,moderate,Gandikota Fort — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.5
himachal pradesh,kangra,kangra fort,fort,historical,2,750,medium,44000,all,moderate,Kangra Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹750. Best time to visit: all. Average rating: 4.4
madhya pradesh,kanha,kanha national park,wildlife sanctuary,wildlife,3,1000,medium,45000,morning,moderate,Kanha National Park — Wildlife. Category: wildlife sanctuary. Estimated visit time: 3.0 hrs. Cost: ₹1000. Best time to visit: morning. Average rating: 4.5
kerala,kannur,st. angelo fort,fort,historical,1,320,medium,48400,all,moderate,St. Angelo Fort — Historical. Category: fort. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: all. Average rating: 4.4
uttar pradesh,kanpur,allen forest zoo,zoo,wildlife,2,750,medium,88200,all,moderate,Allen Forest Zoo — Wildlife. Category: zoo. Estimated visit time: 2.0 hrs. Cost: ₹750. Best time to visit: all. Average rating: 4.2
tamil nadu,kanyakumari,vivekananda rock memorial,memorial,historical,1,320,medium,216199,morning,moderate,Vivekananda Rock Memorial — Historical. Category: memorial. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: morning. Average rating: 4.6
ladakh,kargil,kargil war memorial,war memorial,historical,1,300,low,5280,all,budget,Kargil War Memorial — Historical. Category: war memorial. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
assam,kaziranga,kaziranga national park,national park,wildlife,3,1550,high,30600,morning,luxury,Kaziranga National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹1550. Best time to visit: morning. Average rating: 4.5
uttarakhand,kedarnath,kedarnath,temple,religious,1.5,450,medium,960000,all,moderate,Kedarnath — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.8
odisha,kendujhar,sanaghagara waterfall,waterfall,nature,1,300,low,24200,all,budget,Sanaghagara Waterfall — Nature. Category: waterfall. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.4
odisha,keonjhar,badaghagara waterfall,waterfall,nature,1,300,low,7735,morning,budget,Badaghagara Waterfall — Nature. Category: waterfall. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.3
gujarat,kevadia,statue of unity,monument,historical,3,1250,high,308200,all,luxury,Statue Of Unity — Historical. Category: monument. Estimated visit time: 3.0 hrs. Cost: ₹1250. Best time to visit: all. Average rating: 4.6
madhya pradesh,khajuraho,khajuraho group of monuments,temples,cultural,2,640,medium,42300,afternoon,moderate,Khajuraho Group Of Monuments — Cultural. Category: temples. Estimated visit time: 2.0 hrs. Cost: ₹640. Best time to visit: afternoon. Average rating: 4.7
himachal pradesh,kinnaur,sangla valley,valley,nature,2,600,medium,4500,morning,moderate,Sangla Valley — Nature. Category: valley. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.5
jammu and kashmir,kishtwar,kishtwar national park,national park,wildlife,3,1000,medium,4300,all,moderate,Kishtwar National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹1000. Best time to visit: all. Average rating: 4.3
kerala,kochi,lulu international shopping mall,mall,shopping,3,900,medium,873999,all,moderate,Lulu International Shopping Mall — Shopping. Category: mall. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: all. Average rating: 4.6
kerala,kochi,wonderla amusement park,amusement park,entertainment,5.5,2400,high,188599,all,luxury,Wonderla Amusement Park — Entertainment. Category: amusement park. Estimated visit time: 5.5 hrs. Cost: ₹2400. Best time to visit: all. Average rating: 4.6
kerala,kochi,fort kochi,site,historical,1,300,low,44000,all,budget,Fort Kochi — Historical. Category: site. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.4
kerala,kochi,kerala folklore museum,cultural,cultural,1.5,550,medium,44000,all,moderate,Kerala Folklore Museum — Cultural. Category: cultural. Estimated visit time: 1.5 hrs. Cost: ₹550. Best time to visit: all. Average rating: 4.4
tamil nadu,kodaikanal,kodaikanal lake,lake,recreational,2,600,medium,39000,morning,moderate,Kodaikanal Lake — Recreational. Category: lake. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 3.9
maharastra,kolhapur,mahalakshmi temple,temple,religious,1,300,low,432000,all,budget,Mahalakshmi Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
west bengal,kolkata,howrah bridge,bridge,architectural,0.5,150,low,552000,anytime,budget,Howrah Bridge — Architectural. Category: bridge. Estimated visit time: 0.5 hrs. Cost: ₹150. Best time to visit: anytime. Average rating: 4.6
west bengal,kolkata,science city kolkata,science,educational,3,960,medium,387200,all,moderate,Science City Kolkata — Educational. Category: science. Estimated visit time: 3.0 hrs. Cost: ₹960. Best time to visit: all. Average rating: 4.4
west bengal,kolkata,dakshineswar kali temple,temple,religious,1,300,low,385400,morning,budget,Dakshineswar Kali Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.7
west bengal,kolkata,victoria memorial,museum,historical,1.5,480,medium,335800,morning,moderate,Victoria Memorial — Historical. Category: museum. Estimated visit time: 1.5 hrs. Cost: ₹480. Best time to visit: morning. Average rating: 4.6
west bengal,kolkata,alipore zoological gardens,zoo,wildlife,2,625,medium,283800,afternoon,moderate,Alipore Zoological Gardens — Wildlife. Category: zoo. Estimated visit time: 2.0 hrs. Cost: ₹625. Best time to visit: afternoon. Average rating: 4.3
west bengal,kolkata,belur math,site,religious,1.5,450,medium,220900,morning,moderate,Belur Math — Religious. Category: site. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.7
west bengal,kolkata,kalighat kali temple,temple,religious,1,300,low,220000,morning,budget,Kalighat Kali Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.4
west bengal,kolkata,indian museum,museum,historical,2,650,medium,82800,morning,moderate,Indian Museum — Historical. Category: museum. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: morning. Average rating: 4.6
west bengal,kolkata,marble palace,palace,historical,1,300,low,44000,afternoon,budget,Marble Palace — Historical. Category: palace. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.4
west bengal,kolkata,eden gardens,cricket ground,sports,3,3400,high,41000,all,luxury,Eden Gardens — Sports. Category: cricket ground. Estimated visit time: 3.0 hrs. Cost: ₹3400. Best time to visit: all. Average rating: 4.1
odisha,konark,sun temple,temple,historical,1.5,490,medium,390100,all,moderate,Sun Temple — Historical. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹490. Best time to visit: all. Average rating: 4.7
kerala,kovalam,kovalam beach,beach,recreational,2,600,medium,299200,all,moderate,Kovalam Beach — Recreational. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.4
kerala,kozhikode,kozhikode beach,beach,recreational,1.5,450,medium,23010,all,moderate,Kozhikode Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 3.9
himachal pradesh,kufri,kufri fun world,ski resort,recreational,5,3000,high,38000,all,luxury,Kufri Fun World — Recreational. Category: ski resort. Estimated visit time: 5.0 hrs. Cost: ₹3000. Best time to visit: all. Average rating: 3.8
himachal pradesh,kullu,great himalayan national park,national park,wildlife,3,950,medium,90000,all,moderate,Great Himalayan National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹950. Best time to visit: all. Average rating: 4.5
kerala,kumarakom,kumarakom bird sanctuary,bird sanctuary,wildlife,2,650,medium,38000,all,moderate,Kumarakom Bird Sanctuary — Wildlife. Category: bird sanctuary. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: all. Average rating: 3.8
andhra pradesh,kurnool,belum caves,cave,natural wonder,1.5,515,medium,48400,afternoon,moderate,Belum Caves — Natural wonder. Category: cave. Estimated visit time: 1.5 hrs. Cost: ₹515. Best time to visit: afternoon. Average rating: 4.4
ladakh,leh,pangong tso,lake,nature,2,620,medium,73500,morning,moderate,Pangong Tso — Nature. Category: lake. Estimated visit time: 2.0 hrs. Cost: ₹620. Best time to visit: morning. Average rating: 4.9
ladakh,leh,magnetic hill,gravity hill,nature,0.5,150,low,37000,all,budget,Magnetic Hill — Nature. Category: gravity hill. Estimated visit time: 0.5 hrs. Cost: ₹150. Best time to visit: all. Average rating: 3.7
ladakh,leh,thiksey monastery,monastery,religious,1.5,470,medium,23500,all,moderate,Thiksey Monastery — Religious. Category: monastery. Estimated visit time: 1.5 hrs. Cost: ₹470. Best time to visit: all. Average rating: 4.7
ladakh,leh,khardung la pass,hill,adventure,1,300,low,22500,afternoon,budget,Khardung La Pass — Adventure. Category: hill. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.5
maharastra,lonavala,imagicaa,amusement park,recreational,5,2649,high,133000,all,luxury,Imagicaa — Recreational. Category: amusement park. Estimated visit time: 5.0 hrs. Cost: ₹2649. Best time to visit: all. Average rating: 1.4
maharastra,lonavala,karla caves,cave,historical,1.5,475,medium,118800,afternoon,moderate,Karla Caves — Historical. Category: cave. Estimated visit time: 1.5 hrs. Cost: ₹475. Best time to visit: afternoon. Average rating: 4.4
uttar pradesh,lucknow,bara imambara,monument,historical,1.5,500,medium,198000,all,moderate,Bara Imambara — Historical. Category: monument. Estimated visit time: 1.5 hrs. Cost: ₹500. Best time to visit: all. Average rating: 4.4
uttar pradesh,lucknow,phoenix palassio,mall,shopping,2,600,medium,161000,all,moderate,Phoenix Palassio — Shopping. Category: mall. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.6
tamil nadu,madurai,meenakshi amman temple,temple,religious,2,600,medium,305500,all,moderate,Meenakshi Amman Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.7
tamil nadu,mahabalipuram,shore temple,temple,historical,1,340,medium,41400,all,moderate,Shore Temple — Historical. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹340. Best time to visit: all. Average rating: 4.6
assam,majuli,majuli island,river island,cultural,2,600,medium,4700,morning,moderate,Majuli Island — Cultural. Category: river island. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.7
himachal pradesh,manali,solang valley,valley,adventure,2,600,medium,20500,morning,moderate,Solang Valley — Adventure. Category: valley. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.1
assam,manas,manas national park,national park,wildlife,3,1400,high,87400,morning,luxury,Manas National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹1400. Best time to visit: morning. Average rating: 4.6
himachal pradesh,mandi,prashar lake,lake,nature,1.5,450,medium,4600,morning,moderate,Prashar Lake — Nature. Category: lake. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.6
madhya pradesh,mandu,jahaz mahal,site,historical,1,350,medium,11700,afternoon,moderate,Jahaz Mahal — Historical. Category: site. Estimated visit time: 1.0 hrs. Cost: ₹350. Best time to visit: afternoon. Average rating: 3.9
karnataka,mangalore,panambur beach,beach,recreational,1.5,450,medium,45000,all,moderate,Panambur Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.5
himachal pradesh,manikaran,manikaran sahib,gurudwara,religious,1,300,low,598000,morning,budget,Manikaran Sahib — Religious. Category: gurudwara. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.6
maharashtra,matheran,echo point,viewpoint,nature,1.5,450,medium,8800,morning,moderate,Echo Point — Nature. Category: viewpoint. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.4
uttar pradesh,mathura,krishna janmabhoomi,temple,religious,1,300,low,61100,all,budget,Krishna Janmabhoomi — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
uttar pradesh,mathura,barsana mandir,temple,religious,1,300,low,48000,morning,budget,Barsana Mandir — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.8
uttar pradesh,mathura,nand gaon,village,cultural,1,300,low,4100,morning,budget,Nand Gaon — Cultural. Category: village. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.1
himachal pradesh,mcleod ganj,triund trek,trekking,adventure,5,1500,high,4800,morning,luxury,Triund Trek — Adventure. Category: trekking. Estimated visit time: 5.0 hrs. Cost: ₹1500. Best time to visit: morning. Average rating: 4.8
uttar pradesh,meerut,augarnath temple,temple,religious,1,300,low,21600,all,budget,Augarnath Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
rajasthan,mount abu,dilwara temples,temple,religious,1,300,low,23000,all,budget,Dilwara Temples — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
maharastra,mumbai,gateway of india,monument,historical,1,300,low,1655999,all,budget,Gateway Of India — Historical. Category: monument. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
maharastra,mumbai,marine drive,promenade,scenic,2,600,medium,675000,evening,moderate,Marine Drive — Scenic. Category: promenade. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.5
maharastra,mumbai,siddhivinayak temple,temple,religious,2,600,medium,504000,all,moderate,Siddhivinayak Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.8
maharastra,mumbai,sanjay gandhi national park,national park,wildlife,3,950,medium,258000,all,moderate,Sanjay Gandhi National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹950. Best time to visit: all. Average rating: 4.3
maharastra,mumbai,chhatrapati shivaji maharaj vastu sangrahalaya,museum,historical,1,800,medium,156400,all,moderate,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya — Historical. Category: museum. Estimated visit time: 1.0 hrs. Cost: ₹800. Best time to visit: all. Average rating: 4.6
maharastra,mumbai,mahalaxmi temple,temple,religious,1,300,low,155100,all,budget,Mahalaxmi Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
maharastra,mumbai,elephanta caves,monument,historical,4,1750,high,150500,all,luxury,Elephanta Caves — Historical. Category: monument. Estimated visit time: 4.0 hrs. Cost: ₹1750. Best time to visit: all. Average rating: 4.3
maharastra,mumbai,essel world,amusement park,recreational,5,2649,high,116100,all,luxury,Essel World — Recreational. Category: amusement park. Estimated visit time: 5.0 hrs. Cost: ₹2649. Best time to visit: all. Average rating: 4.3
maharastra,mumbai,haji ali dargah,religious shrine,religious,2,600,medium,70400,all,moderate,Haji Ali Dargah — Religious. Category: religious shrine. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.4
maharastra,mumbai,chowpatty beach,beach,recreational,2,600,medium,21500,evening,moderate,Chowpatty Beach — Recreational. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.3
kerala,munnar,munnar tea gardens,scenic area,nature,2,600,medium,129000,all,moderate,Munnar Tea Gardens — Nature. Category: scenic area. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.3
west bengal,murshidabad,hazarduari palace,palace,historical,1.5,460,medium,81000,morning,moderate,Hazarduari Palace — Historical. Category: palace. Estimated visit time: 1.5 hrs. Cost: ₹460. Best time to visit: morning. Average rating: 4.5
karnataka,murudeshwar,murudeshwar temple,temple,religious,1,300,low,230300,all,budget,Murudeshwar Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
uttarakhand,mussoorie,kempty falls,waterfall,nature,1.5,465,medium,231000,morning,moderate,Kempty Falls — Nature. Category: waterfall. Estimated visit time: 1.5 hrs. Cost: ₹465. Best time to visit: morning. Average rating: 4.2
karnataka,mysore,mysore palace,palace,historical,2,650,medium,1150000,all,moderate,Mysore Palace — Historical. Category: palace. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: all. Average rating: 4.6
maharastra,nagpur,deekshabhoomi,monument,religious,1,300,low,49500,afternoon,budget,Deekshabhoomi — Religious. Category: monument. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.5
uttarakhand,nainital,naini lake,lake,nature,1.5,450,medium,4200,morning,moderate,Naini Lake — Nature. Category: lake. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.2
sikkim,namchi,char dham,religious complex,religious,2,650,medium,56400,all,moderate,Char Dham — Religious. Category: religious complex. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: all. Average rating: 4.7
himachal pradesh,narkanda,hatu peak,viewpoint,nature,2,600,medium,495000,all,moderate,Hatu Peak — Nature. Category: viewpoint. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.5
maharastra,nashik,sula vineyards,vineyard,recreational,2,900,medium,41000,afternoon,moderate,Sula Vineyards — Recreational. Category: vineyard. Estimated visit time: 2.0 hrs. Cost: ₹900. Best time to visit: afternoon. Average rating: 4.1
andaman and nicobar islands,neil island,bharatpur beach,beach,nature,1,300,low,18000,morning,budget,Bharatpur Beach — Nature. Category: beach. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.5
kerala,nelliyampathy,seethargundu viewpoint,viewpoint,nature,1,300,low,13500,morning,budget,Seethargundu Viewpoint — Nature. Category: viewpoint. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.5
delhi,new delhi,gurudwara bangla sahib,gurudwara,religious,1,300,low,504000,all,budget,Gurudwara Bangla Sahib — Religious. Category: gurudwara. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
delhi,new delhi,jama masjid,mosque,historical,1,300,low,220500,all,budget,Jama Masjid — Historical. Category: mosque. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
delhi,new delhi,rail museum,museum,cultural,2,650,medium,105600,morning,moderate,Rail Museum — Cultural. Category: museum. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: morning. Average rating: 4.4
uttar pradesh,noida,dlf mall of india,mall,shopping,2,600,medium,690000,all,moderate,Dlf Mall Of India — Shopping. Category: mall. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.6
uttar pradesh,noida,okhla bird sanctuary,bird sanctuary,wildlife,1.5,480,medium,15050,all,moderate,Okhla Bird Sanctuary — Wildlife. Category: bird sanctuary. Estimated visit time: 1.5 hrs. Cost: ₹480. Best time to visit: all. Average rating: 4.3
ladakh,nubra valley,nubra valley,valley,nature,2,600,medium,45000,all,moderate,Nubra Valley — Nature. Category: valley. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.5
tamil nadu,ooty,ooty lake,lake,recreational,1,310,medium,250099,morning,moderate,Ooty Lake — Recreational. Category: lake. Estimated visit time: 1.0 hrs. Cost: ₹310. Best time to visit: morning. Average rating: 4.1
madhya pradesh,orchha,orchha fort,fort,historical,1.5,460,medium,48000,afternoon,moderate,Orchha Fort — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹460. Best time to visit: afternoon. Average rating: 4.8
madhya pradesh,pachmarhi,bee falls,waterfall,nature,1.5,465,medium,29899,morning,moderate,Bee Falls — Nature. Category: waterfall. Estimated visit time: 1.5 hrs. Cost: ₹465. Best time to visit: morning. Average rating: 4.6
