state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm
puducherry,puducherry,promenade beach,beach,recreational,1.0,300,low,40500,morning,budget,0.010706200390070407
puducherry,puducherry,paradise beach,beach,recreational,1.0,500,medium,6750,morning,moderate,0.0007794349185078731
maharastra,pune,shaniwar wada,fort,historical,2.0,650,medium,528000,all,moderate,0.1540928127570848
odisha,puri,jagannath temple,temple,religious,2.0,600,medium,470000,all,moderate,0.13703348246521438
west bengal,purulia,ayodhya hills,hill,nature,2.5,750,medium,67500,all,moderate,0.018647612767320437
rajasthan,pushkar,pushkar lake,temple,religious,1.5,450,medium,704000,all,moderate,0.20585905640138127
andhra pradesh,puttaparthi,prasanthi nilayam,spiritual center,religious,1.0,300,low,56400,all,budget,0.015382809901117647
andhra pradesh,rajahmundry,papikondalu,hill,nature,2.0,600,medium,13760,all,moderate,0.0028412608727494543
tamil nadu,rameswaram,ramanathaswamy temple,temple,religious,1.5,450,medium,4600,all,moderate,0.00014706319217129682
jharkhand,ranchi,pahari mandir,temple,religious,1.0,300,low,59799,all,budget,0.01638254548149812
uttarakhand,ranikhet,chaubatia gardens,orchard,recreational,1.0,350,medium,10000,all,moderate,0.0017353456676213023
gujarat,rann of kutch,rann utsav,cultural,cultural,3.0,5000,high,49000,evening,luxury,0.013206274656982453
maharastra,ratnagiri,ganapatipule temple,temple,religious,1.0,300,low,47000,all,budget,0.012618021888297266
sikkim,ravangla,buddha park,park,cultural,1.0,350,medium,48000,all,moderate,0.01291214827263986
uttarakhand,rishikesh,laxman jhula,suspension bridge,cultural,1.0,300,low,13200,morning,budget,0.002676550097517602
odisha,rourkela,khandadhar waterfall,waterfall,nature,1.5,450,medium,540000,all,moderate,0.15762232936919593
odisha,sambalpur,hirakud dam,dam,engineering marvel,1.0,300,low,4500,all,budget,0.00011765055373703745
uttar pradesh,sarnath,dhamek stupa,monument,historical,1.0,305,medium,29899,all,moderate,0.007588166589654573
maharashtra,satara,kaas plateau,valley,nature,2.0,900,medium,22000,afternoon,moderate,0.005264862279732426
rajasthan,sawai madhopur,ranthambore national park,wildlife sanctuary,wildlife,3.0,1400,high,41400,all,luxury,0.010970914135978742
himachal pradesh,shimla,the ridge,scenic point,recreational,1.0,300,low,14100,morning,budget,0.0029412638434259362
maharastra,shirdi,sai baba temple,temple,religious,1.5,450,medium,324300,all,moderate,0.09417926826649847
karnataka,shivamogga,jog falls,waterfall,nature,1.5,480,medium,105799,morning,moderate,0.02991235916125743
himachal pradesh,shoja,serolsar lake,lake,nature,2.5,750,medium,396000,morning,moderate,0.11526813002386244
west bengal,siliguri,jaldapara national park,wildlife sanctuary,wildlife,3.0,1150,high,15400,all,luxury,0.003323628143071308
assam,sivasagar,sivasagar sivadol,temple,historical,1.0,300,low,30550,all,budget,0.007779642865861601
gujarat,somnath,somnath temple,temple,religious,2.0,600,medium,187200,morning,moderate,0.053854540973128896
himachal pradesh,spiti valley,key monastery,monastery,religious,1.0,300,low,12000,morning,budget,0.0023235984363064897
jammu and kashmir,srinagar,dal lake,lake,nature,2.0,600,medium,69000,morning,moderate,0.019088802343834328
andhra pradesh,srisailam,mallikarjuna swamy temple,temple,religious,1.0,300,low,230300,all,budget,0.06653138813829468
west bengal,sundarbans,sundarbans national park,national park,wildlife,4.0,1260,high,28600,all,luxury,0.007206096416393544
maharashtra,tarkarli,tarkarli beach,beach,recreational,2.0,600,medium,29899,evening,moderate,0.007588166589654573
arunachal pradesh,tawang,tawang monastery,monastery,religious,2.0,600,medium,15040,morning,moderate,0.003217742644707974
tamil nadu,thanjavur,brihadeeswarar temple,temple,religious,1.5,450,medium,168000,all,moderate,0.048207314393751095
kerala,thekkady,periyar national park,national park,wildlife,3.0,950,medium,60200,all,moderate,0.016500490161619502
kerala,thiruvananthapuram,padmanabhaswamy temple,temple,religious,1.0,300,low,216200,all,budget,0.06238420611906411
tamil nadu,tirunelveli,nellaiappar temple,temple,religious,1.0,300,low,73600,all,budget,0.020441783711810258
rajasthan,udaipur,lake pichola,lake,nature,1.0,300,low,229999,all,budget,0.06644285609660756
rajasthan,udaipur,city palace,palace,historical,2.0,900,medium,224400,all,moderate,0.06479604247067337
jammu and kashmir,udhampur,patnitop height,hill,recreational,2.0,600,medium,4100,all,moderate,0.0
madhya pradesh,ujjain,mahakaleshwar jyotirlinga,temple,religious,1.5,450,medium,576000,all,moderate,0.1682108792055293
tripura,unakoti,unakoti rock carvings,rock carvings,historical,1.5,470,medium,11250,morning,moderate,0.0021030036480495446
uttarakhand,uttarkashi,gangotri temple,temple,religious,1.0,300,low,24000,all,budget,0.0058531150484176135
gujarat,vadodara,laxmi vilas palace,palace,historical,2.0,800,medium,74800,afternoon,moderate,0.02079473537302137
uttar pradesh,varanasi,kashi vishwanath temple,temple,religious,1.0,300,low,423000,all,budget,0.12320954240111247
kerala,varkala,varkala beach,beach,recreational,2.0,600,medium,46000,all,moderate,0.012323895503954673
andhra pradesh,vijayawada,kanaka durga temple,temple,religious,1.0,300,low,206800,all,budget,0.05961941810624373
andhra pradesh,visakhapatnam,submarine museum,museum,historical,1.0,340,medium,225399,all,moderate,0.06508987472863163
andhra pradesh,visakhapatnam,rishikonda beach,beach,recreational,1.5,450,medium,175500,morning,moderate,0.05041326227632055
andhra pradesh,visakhapatnam,borra caves,cave,natural wonder,2.0,660,medium,139500,afternoon,moderate,0.03982471243998718
andhra pradesh,visakhapatnam,indira gandhi zoological park,zoo,wildlife,2.0,620,medium,102499,afternoon,moderate,0.02894174209292687
andhra pradesh,visakhapatnam,visakha museum,museum,cultural,1.0,310,medium,27950,all,moderate,0.007014914266570858
andhra pradesh,visakhapatnam,war memorial,war memorial,historical,1.0,300,low,27139,all,budget,0.0067763777688690146
andhra pradesh,visakhapatnam,matsyadarshini aquarium,aquarium,recreational,1.0,320,medium,11400,all,moderate,0.0021471226057009334
andhra pradesh,visakhapatnam,kailasagiri,hill,recreational,2.0,600,medium,8550,all,moderate,0.0013088624103245415
andhra pradesh,vizianagaram,simhachalam temple,temple,religious,1.0,300,low,277300,all,budget,0.08035532820239658
uttar pradesh,vrindavan,prem mandir,temple,religious,1.5,450,medium,235200,evening,moderate,0.06797260742157339
uttar pradesh,vrindavan,banke bihari temple,temple,religious,1.0,300,low,177600,all,budget,0.051030927683439996
kerala,wayanad,wayanad wildlife sanctuary,wildlife sanctuary,wildlife,3.0,1200,high,990000,all,luxury,0.28997920232336305
tamil nadu,yercaud,yercaud lake,lake,recreational,1.0,300,low,7980,morning,budget,0.0011412103712492632
